domain,status,tasks,passed,pass_rate,pass_rate_ci95_low,pass_rate_ci95_high,db_matches,db_match_rate,infra_errors,avg_duration_seconds,avg_turns,p95_turns,max_turns,avg_tool_calls,total_tool_calls,total_tokens,avg_tokens,invalid_calls,invalid_call_rate,invalid_call_task_rate,duplicate_nonwrite_calls,duplicate_call_rate,duplicate_call_task_rate,duplicate_write_actions,duplicate_write_task_rate,confirmed_partial_completion,partial_completion_unknown,confirmed_premature_finish,premature_finish_unknown,confirmed_unintended_side_effects,side_effect_unknown,recovery_attempts,successful_recoveries,failed_tasks,source
airline,measured_baseline,50,32,0.64,0.50141,0.758613,33,0.66,0,63.713624,15.38,23.0,28,7.08,354,3266832,65336.64,1,0.002825,0.02,0,0.0,0.0,0,0.0,0,18,0,18,0,18,0,0,18,benchmarks/results/tau2_airline_retail_full_glm5_no_thinking/metrics_summary.csv
retail,measured_baseline,114,91,0.798246,0.715417,0.861629,94,0.824561,0,67.410342,17.807018,26.0,35,7.842105,894,9053789,79419.201754,23,0.025727,0.157895,4,0.004474,0.035088,0,0.0,0,23,0,23,0,23,4,2,23,benchmarks/results/tau2_airline_retail_full_glm5_no_thinking/metrics_summary.csv
telecom,measured_baseline,114,113,0.991228,0.95198,0.99845,27,0.236842,0,96.245784,37.947368,64.0,76,6.614035,754,28905094,253553.45614,1,0.001326,0.008772,7,0.009284,0.04386,0,0.0,0,1,0,1,0,1,1,1,1,benchmarks/results/tau2_telecom_base_glm5_no_thinking_114/metrics_summary.csv
overall,measured_baseline,278,236,0.848921,0.802085,0.886245,154,0.553957,0,78.570071,25.629496,58.0,76,7.201439,2002,41225715,148293.938849,25,0.012488,0.071942,11,0.005495,0.032374,0,0.0,0,42,0,42,0,42,5,3,42,benchmarks/results/tau2_airline_retail_full_glm5_no_thinking/metrics_summary.csv;benchmarks/results/tau2_telecom_base_glm5_no_thinking_114/metrics_summary.csv
