id,benchmark,split,model,runtime,tasks,status,notes
E0,AppWorld,test_challenge,DeepSeek V4 Flash,plain function calling,417,measured_primary,primary full baseline; state persistence repaired
E1,AppWorld,test_normal,DeepSeek V4 Flash,plain function calling,168,pending_rerun,historical full run predates state persistence fix
E2,AppWorld,test_normal,Qwen3-14B,plain function calling; no thinking,168,pending,matched baseline
E3,AppWorld,test_challenge,Qwen3-14B,plain function calling; no thinking,417,pending,matched baseline
E4,AppWorld,test_normal,Qwen3-14B,SafeDesk; no thinking,168,pending,main comparison
E5,AppWorld,test_challenge,Qwen3-14B,SafeDesk; no thinking,417,pending,main comparison
E6,tau2-bench,airline+retail+telecom-base,GLM-5 agent; DeepSeek user/judge,DeerFlow baseline; no thinking,278,measured_diagnostic,roles use different models; tokens not role-separated
E7,tau2-bench,frozen matched subset,Qwen3-14B,plain function calling; no thinking,TBD,pending,matched conversational baseline
E8,tau2-bench,same as E7,Qwen3-14B,SafeDesk; no thinking,TBD,pending,matched SafeDesk comparison
