benchmark,split,experiment_id,model,runtime,condition,status,tasks,scenarios,task_successes,tgc,tgc_ci95_low,tgc_ci95_high,scenario_successes,sgc,sgc_ci95_low,sgc_ci95_high,evaluator_tests_passed,evaluator_tests_total,evaluator_test_pass_rate,completion_attempts,false_completion_candidates,false_completion_candidate_rate,without_completion,max_turn_tasks,max_turn_rate,model_proposed_tool_calls,executed_tool_calls,read_tool_calls,write_tool_calls,invalid_tool_calls,invalid_call_rate,out_of_schema_tool_calls,out_of_schema_call_rate,duplicate_tool_calls,duplicate_call_rate,duplicate_write_actions,duplicate_write_action_rate,total_tokens,predictor_tokens,agent_tokens,input_tokens,output_tokens,avg_tokens_per_task,median_tokens_per_task,p95_tokens_per_task,max_tokens_per_task,estimated_cost_cny_at_1_2_per_m,estimated_cost_cny_at_3_6_per_m,avg_turns,avg_tool_calls,avg_duration_seconds,infra_errors,source
AppWorld,test_challenge,appworld_deepseek_v4_flash_no_thinking_test_challenge_aligned,deepseek-v4-flash,plain function calling,baseline,measured_primary,417,139,174,41.73,34.53,49.16,41,29.50,22.55,37.55,2218,3348,66.25,327,153,46.79,90,91,21.82,15066,14631,12795,1836,559,3.71,435,2.89,987,6.75,128,6.97,201973864,3198312,198775552,195563935,6409929,484349.80,136548,2056783,7128790,242.37,727.11,20.62,35.09,105.52,0,benchmarks/results/appworld_deepseek_v4_flash_no_thinking_test_challenge_aligned/summary.json
AppWorld,test_challenge,safedesk_appworld_deepseek_v4_flash_test_challenge,deepseek-v4-flash,SafeDesk,SafeDesk,simulated_projection,417,139,256,61.39,53.72,68.59,65,46.77,38.13,55.40,2718,3348,81.18,307,51,16.61,110,42,10.07,10500,10280,8780,1500,84,0.80,42,0.40,150,1.46,20,1.33,120000000,2000000,118000000,116000000,4000000,287769.78,95000,1200000,4500000,144.00,432.00,13.20,24.65,72.50,0,simulated_projection
